run_timestamp,scale_tag,train_file,test_file,output_file,report_metric_space,use_log_target,split_mode,train_size,valid_size,train_time_range,valid_time_range,rent_best_iteration,rent_validation_rmse_objective,rent_final_validation_rmse,rent_training_seconds,rent_top_features,return_best_iteration,return_validation_rmse_objective,return_final_validation_rmse,return_training_seconds,return_top_features,cb_loss_function,cb_eval_metric,cb_learning_rate,cb_depth,cb_l2_leaf_reg,cb_random_seed,cb_task_type,cb_devices,cb_od_type,cb_od_wait,cb_iterations,cb_log_eval_period,train_valid_test_size,train_valid_random_state,categorical_features
auto_cb_20260415_154920_011,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_154920_011/prediction_CB_scale_all_auto_cb_20260415_154920_011.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,266,0.39018366681289857,0.39018374496582353,7.886,rent_mean_7d:47.907650; normal_power_bike_count:10.531372; return_mean_7d:8.385850; h3:5.176575; hour:5.155265,250,0.4040202209495369,0.40402015897855026,8.25,return_mean_7d:57.191303; h3:8.036321; rent_mean_7d:7.166424; hour:4.873148; day_of_week:4.327038,RMSE,RMSE,0.015,9,5.0,42,GPU,0:1,Iter,15,3000,5,0.2,42,h3
auto_cb_20260415_154939_012,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_154939_012/prediction_CB_scale_all_auto_cb_20260415_154939_012.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,266,0.39018366681289857,0.39018374496582353,7.694,rent_mean_7d:47.907650; normal_power_bike_count:10.531372; return_mean_7d:8.385850; h3:5.176575; hour:5.155265,250,0.4040202209495369,0.40402015897855026,8.697,return_mean_7d:57.191303; h3:8.036321; rent_mean_7d:7.166424; hour:4.873148; day_of_week:4.327038,RMSE,RMSE,0.015,9,5.0,42,GPU,0:1,Iter,30,3000,5,0.2,42,h3
auto_cb_20260415_154958_013,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_154958_013/prediction_CB_scale_all_auto_cb_20260415_154958_013.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,252,0.3900871216255215,0.3900870831199754,8.973,rent_mean_7d:43.971094; normal_power_bike_count:10.314828; return_mean_7d:7.968157; hour:6.232721; h3:5.691828,235,0.40369956751328956,0.4036995506891743,9.773,return_mean_7d:54.201098; h3:8.478999; rent_mean_7d:6.558854; hour:5.732173; day_of_week:4.942774,RMSE,RMSE,0.015,10,3.0,42,GPU,0:1,Iter,15,3000,5,0.2,42,h3
auto_cb_20260415_155020_014,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155020_014/prediction_CB_scale_all_auto_cb_20260415_155020_014.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,252,0.3900871216255215,0.3900870831199754,8.528,rent_mean_7d:43.971094; normal_power_bike_count:10.314828; return_mean_7d:7.968157; hour:6.232721; h3:5.691828,235,0.40369956751328956,0.4036995506891743,9.964,return_mean_7d:54.201098; h3:8.478999; rent_mean_7d:6.558854; hour:5.732173; day_of_week:4.942774,RMSE,RMSE,0.015,10,3.0,42,GPU,0:1,Iter,30,3000,5,0.2,42,h3
auto_cb_20260415_155041_015,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155041_015/prediction_CB_scale_all_auto_cb_20260415_155041_015.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,233,0.39004421109297704,0.39004418090795795,8.155,rent_mean_7d:45.428606; normal_power_bike_count:10.444167; return_mean_7d:8.108098; hour:5.917058; h3:5.602597,244,0.40368538079061955,0.403685407975587,9.688,return_mean_7d:53.539669; h3:8.567437; rent_mean_7d:6.546531; hour:5.908186; day_of_week:4.881565,RMSE,RMSE,0.015,10,4.0,42,GPU,0:1,Iter,15,3000,5,0.2,42,h3
auto_cb_20260415_155102_016,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155102_016/prediction_CB_scale_all_auto_cb_20260415_155102_016.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,285,0.3897984614874196,0.38979848961222485,10.692,rent_mean_7d:42.816322; normal_power_bike_count:10.115395; return_mean_7d:7.838362; hour:6.677545; h3:5.808974,268,0.4036265209342623,0.40362652961176937,10.12,return_mean_7d:51.909542; h3:8.578406; rent_mean_7d:6.375350; hour:6.184060; day_of_week:5.258033,RMSE,RMSE,0.015,10,4.0,42,GPU,0:1,Iter,30,3000,5,0.2,42,h3
auto_cb_20260415_155126_017,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155126_017/prediction_CB_scale_all_auto_cb_20260415_155126_017.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,252,0.3903599998735261,0.3903599890880158,8.769,rent_mean_7d:44.194738; normal_power_bike_count:10.299114; return_mean_7d:7.947522; hour:6.245248; h3:5.684531,245,0.40328043276064696,0.4032804115212395,9.832,return_mean_7d:53.718457; h3:8.582365; rent_mean_7d:6.702651; hour:5.816053; day_of_week:4.801430,RMSE,RMSE,0.015,10,5.0,42,GPU,0:1,Iter,15,3000,5,0.2,42,h3
auto_cb_20260415_155147_018,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155147_018/prediction_CB_scale_all_auto_cb_20260415_155147_018.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,234,0.39043787250422624,0.39043785722839636,8.95,rent_mean_7d:45.308377; normal_power_bike_count:10.528129; return_mean_7d:8.051756; hour:5.837069; h3:5.570454,245,0.40328043276064696,0.4032804115212395,10.689,return_mean_7d:53.718457; h3:8.582365; rent_mean_7d:6.702651; hour:5.816053; day_of_week:4.801430,RMSE,RMSE,0.015,10,5.0,42,GPU,0:1,Iter,30,3000,5,0.2,42,h3
auto_cb_20260415_155210_019,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155210_019/prediction_CB_scale_all_auto_cb_20260415_155210_019.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,199,0.39147616733978546,0.39147618705095105,6.154,rent_mean_7d:52.446656; normal_power_bike_count:10.864217; return_mean_7d:9.035292; h3:4.428447; available_power_bike_gap:4.396239,188,0.40414770697608243,0.4041477255125937,6.418,return_mean_7d:61.947319; rent_mean_7d:9.136981; h3:6.984943; hour:3.674862; day_of_week:3.191236,RMSE,RMSE,0.02,8,3.0,42,GPU,0:1,Iter,15,3000,5,0.2,42,h3
auto_cb_20260415_155225_020,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155225_020/prediction_CB_scale_all_auto_cb_20260415_155225_020.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,199,0.39147616733978546,0.39147618705095105,6.693,rent_mean_7d:52.446656; normal_power_bike_count:10.864217; return_mean_7d:9.035292; h3:4.428447; available_power_bike_gap:4.396239,216,0.4038753812821512,0.4038753805121326,6.729,return_mean_7d:59.624254; rent_mean_7d:8.856787; h3:7.225342; hour:4.078151; day_of_week:3.702754,RMSE,RMSE,0.02,8,3.0,42,GPU,0:1,Iter,30,3000,5,0.2,42,h3
