grid_id,arrival_time_hrs,batteries_swapped
DEPOT,0.0,0
8940e354db3ffff,0.09171335648515,1
8940e354dabffff,0.13114942192329856,2
8940e354da7ffff,0.19045932297835533,2
8940e30b2d3ffff,0.2420424995628137,2
8940e30b2dbffff,0.29300511322173467,1
8940e30b2cbffff,0.3246577543729942,1
8940e30b257ffff,0.36514540100952614,4
8940e30b2cfffff,0.4567980354411914,1
8940e354d23ffff,0.5066964824795035,1
8940e354d2bffff,0.5376577620326826,1
8940e354d77ffff,0.5692397471171518,1
8940e354997ffff,0.6204149793315944,1
8940e30b24bffff,0.6519976302472665,1
8940e30b277ffff,0.713026858941562,1
DEPOT,0.916259068991334,0
