grid_id,arrival_time_hrs,batteries_swapped
DEPOT,0.0,0
8940e354db3ffff,0.09171288313673331,1
8940e354dabffff,0.1311489485748625,3
8940e354da7ffff,0.21045836447444405,2
8940e30b2d3ffff,0.2620415415064428,2
8940e30b2dbffff,0.3130041551663326,1
8940e354d23ffff,0.3549279515436668,2
8940e354d77ffff,0.41423650921855854,2
8940e354d2bffff,0.46581849430301686,1
8940e30b257ffff,0.5268459666270429,3
8940e30b2b3ffff,0.6371624364682346,1
8940e30b60fffff,0.7186303908386645,1
8940e30b68bffff,0.7735937187017573,1
DEPOT,0.86850051668395,0
