iter	Passed	Remaining
0	504	5044927
1	857	4285184
2	1119	3730972
3	1462	3653592
4	1722	3443425
5	1983	3303785
6	2367	3379782
7	2674	3340433
8	2986	3315199
9	3455	3452439
10	3838	3485913
11	4103	3415331
12	4409	3387621
13	4728	3372574
14	5040	3355205
15	5399	3369543
16	5812	3413316
17	6202	3439531
18	6648	3492660
19	6948	3467191
20	7475	3552105
21	7838	3555261
22	8215	3563718
23	8499	3532952
24	8926	3561780
25	9305	3569810
26	9837	3633693
27	10093	3594866
28	10335	3553627
29	10811	3593178
30	11147	3584761
31	11630	3622811
32	11960	3612319
33	12391	3632299
34	12876	3666133
35	13123	3632266
36	13530	3643289
37	13857	3632782
38	14320	3657587
39	14791	3683007
40	15111	3670642
41	15583	3694848
42	15911	3684330
43	16241	3674983
44	16600	3672432
45	17096	3699523
46	17634	3734404
47	18053	3743159
48	18391	3735021
49	18933	3767822
50	19419	3788257
51	19767	3781716
52	20204	3791899
53	20580	3790682
54	21106	3816378
55	21519	3821201
56	21979	3833987
57	22466	3851152
58	22865	3852715
59	23321	3863646
60	23661	3855209
61	24129	3867739
62	24623	3883796
63	25076	3893189
64	25608	3914199
65	26036	3918836
66	26591	3942233
67	27130	3962708
68	27592	3971279
69	27839	3949214
70	28263	3952551
71	28573	3939909
72	29053	3950840
73	29531	3961187
74	30098	3982971
75	30646	4001755
76	30936	3986824
77	31180	3966351
78	31267	3926622
79	31456	3900546
80	31674	3878757
81	31893	3857529
82	32272	3856037
83	32558	3843506
84	32898	3837456
85	33246	3832682
86	33541	3821764
87	33889	3817195
88	34068	3793877
89	34515	3800593
90	34778	3787025
91	35102	3780359
92	35352	3765982
93	35508	3742002
94	35958	3749126
95	36329	3747965
96	36515	3728009
97	36916	3730059
98	37211	3721494
99	37535	3715998
100	37864	3711093
101	38362	3722632
102	38723	3720858
103	38981	3709246
104	39188	3693068
105	39491	3686154
106	39898	3688925
107	40315	3692580
108	40728	3695852
109	41078	3693343
110	41587	3705075
111	42046	3712066
112	42267	3698220
113	42749	3707219
114	43047	3700206
115	43413	3699161
116	43663	3688256
117	44157	3697968
118	44385	3685521
119	44816	3689919
120	45303	3698798
121	45722	3702055
