iter	RMSE
0	0.8440435687
1	0.8309666017
2	0.8186218068
3	0.806262453
4	0.7944719435
5	0.7827196723
6	0.7712256884
7	0.7598007101
8	0.7486141167
9	0.7377474509
10	0.7272291129
11	0.7170846451
12	0.7069957691
13	0.6972069303
14	0.6876001126
15	0.6784670256
16	0.669396888
17	0.660505917
18	0.6518846392
19	0.6435055522
20	0.6352154896
21	0.6274896945
22	0.6197188497
23	0.6119976864
24	0.6046494204
25	0.5972800848
26	0.5901940702
27	0.5834695682
28	0.5770169914
29	0.5706112231
30	0.564632892
31	0.5585223403
32	0.5524924658
33	0.5465137758
34	0.5407354588
35	0.5357671297
36	0.5302810557
37	0.5250161014
38	0.5198811674
39	0.515079464
40	0.5102668752
41	0.5055269178
42	0.5012019245
43	0.4967550342
44	0.4925186293
45	0.4882555306
46	0.4842137616
47	0.4802891401
48	0.4765357959
49	0.4728976011
50	0.4692574077
51	0.4658352739
52	0.4623933906
53	0.4591592253
54	0.4559346653
55	0.4528143635
56	0.4497491095
57	0.4467466114
58	0.4438517365
59	0.441036384
60	0.4383733262
61	0.4357194515
62	0.4331861647
63	0.4307484771
64	0.4283130361
65	0.4260745836
66	0.4238007804
67	0.4216284906
68	0.419508372
69	0.4174959724
70	0.4155637951
71	0.4136991699
72	0.4118370879
73	0.4101036053
74	0.4083519279
75	0.4066649961
76	0.4050424323
77	0.4035405819
78	0.4020665763
79	0.4005792429
80	0.3992081816
81	0.3978874688
82	0.396534191
83	0.3952575694
84	0.3940658417
85	0.3928657218
86	0.3917322199
87	0.3906949351
88	0.3896385396
89	0.3885338166
90	0.3875443759
91	0.386580448
92	0.3856734413
93	0.3848984542
94	0.384020972
95	0.3830595703
96	0.3822495063
97	0.381412699
98	0.380602718
99	0.3798336548
100	0.3791377555
101	0.3783834183
102	0.3776551106
103	0.3770494331
104	0.3764718228
105	0.3758334854
106	0.3752101869
107	0.3746200671
108	0.3740273641
109	0.3734340473
110	0.3728636862
111	0.3722965294
112	0.3717848827
113	0.3713130725
114	0.3708770132
115	0.3704505116
116	0.3700032703
117	0.3695545175
118	0.3691997927
119	0.3687424895
120	0.3683718433
121	0.3679697452
122	0.367595518
123	0.3672131391
124	0.3668061725
125	0.3664152659
126	0.3661203742
127	0.3659000451
128	0.3655618519
129	0.3652417696
130	0.3649147582
131	0.3646601017
132	0.3643550159
133	0.3641527684
134	0.3637909311
135	0.3635333047
136	0.3633352614
137	0.3630630015
138	0.3627927874
139	0.3625176577
140	0.3622739311
141	0.3620890215
142	0.3618435302
143	0.3616479159
144	0.3614448713
145	0.3612017727
146	0.3609614694
147	0.3607593708
148	0.3606131863
149	0.3603779949
150	0.3601672653
151	0.3599939473
152	0.359827458
153	0.3596135205
154	0.3594908738
155	0.3593319438
156	0.3591897663
157	0.3590323604
158	0.3589036268
159	0.3587929432
160	0.3586931584
161	0.3585030395
162	0.3583791186
163	0.3582511086
164	0.3581058602
165	0.3579875774
166	0.3578832618
167	0.3577990667
168	0.3577046674
169	0.3576165795
170	0.3575016881
171	0.3574329212
172	0.3573104334
173	0.357259889
174	0.3571785908
175	0.35710582
176	0.3569773747
177	0.3568477608
178	0.3567453468
179	0.3566154132
180	0.3565398312
181	0.356417058
182	0.3563472147
183	0.3562821759
184	0.3562128844
185	0.3561291406
186	0.3560733397
187	0.3560124191
188	0.3559078246
189	0.35584575
190	0.3557844795
191	0.3556898565
192	0.3556228096
193	0.3554907917
194	0.3553840473
195	0.3553186818
196	0.3552480857
197	0.355184854
198	0.3551294633
199	0.3550423052
200	0.3549347595
201	0.3548110115
202	0.3547640788
203	0.3547317222
204	0.3546670862
205	0.3546329029
206	0.3545736391
207	0.354462884
208	0.354333513
209	0.3542127536
210	0.3541701361
211	0.3541282244
212	0.3539977613
213	0.353867056
214	0.3538408595
215	0.3537811287
216	0.3537418022
217	0.3537119944
218	0.353704747
219	0.3536604503
220	0.353621585
221	0.3535860168
222	0.3535532395
223	0.3535461615
224	0.3534602533
225	0.3534398766
226	0.3534225102
227	0.3533662387
228	0.3532583555
229	0.3532209796
230	0.353180759
231	0.3530410316
232	0.3529554328
233	0.3529464297
234	0.352900557
235	0.3528502025
236	0.3528026737
237	0.3527367001
238	0.3527115662
239	0.3526997773
240	0.3526536885
241	0.3525922419
242	0.3525779173
243	0.3525764025
244	0.3525599674
245	0.3525321048
246	0.3524557337
247	0.3524165408
248	0.3523947181
249	0.3523811216
250	0.352344876
251	0.3523161627
252	0.3523096011
253	0.3522718646
254	0.35224177
255	0.3522024991
256	0.3521899241
257	0.3521358822
258	0.3521333906
259	0.3520499875
260	0.3519663696
261	0.3519057352
262	0.3518585993
263	0.3517978162
264	0.3517747406
265	0.3517626383
266	0.3517040405
267	0.3516312975
268	0.3516174111
269	0.3515498913
270	0.3515478079
271	0.3514984208
272	0.3514384547
273	0.3514023615
274	0.3513796617
275	0.3513643105
276	0.3513258427
277	0.3512874684
278	0.351284569
279	0.3512435945
280	0.3512341891
281	0.3512332225
282	0.351204288
283	0.3510970769
284	0.3510889171
285	0.3510843971
286	0.3510674031
287	0.351061003
288	0.3510586993
289	0.3510499628
290	0.3510043203
291	0.3509979951
292	0.3509909308
293	0.3509895722
294	0.3509432915
295	0.350910637
296	0.3508910363
297	0.3508830131
298	0.3508725978
299	0.3508718911
300	0.3508466888
301	0.3508432421
302	0.3508292484
303	0.3508224959
304	0.3507753014
305	0.3507553234
306	0.3507373237
307	0.3507249898
308	0.3506690905
309	0.350666806
310	0.3506535776
311	0.3506501617
312	0.3506080468
313	0.3505871126
314	0.350559485
315	0.3505551214
316	0.3505330631
317	0.3505295807
318	0.3504950265
319	0.3504866133
320	0.3504354438
321	0.3504347798
322	0.3504338981
323	0.3503453975
324	0.3503251554
325	0.3503120122
326	0.350229014
327	0.3501924912
328	0.3501553872
329	0.3501506481
330	0.3501468459
331	0.3500964223
332	0.3500681675
333	0.350062817
334	0.3500363576
335	0.3500216341
336	0.349934272
337	0.3499102886
338	0.3499026136
339	0.3498987978
340	0.3498758695
341	0.349875815
342	0.3498693822
343	0.3498557856
344	0.3498535177
345	0.3498224735
346	0.3498043822
347	0.3497601587
348	0.3497561995
349	0.3497525785
350	0.3497470923
351	0.349732422
352	0.3497282117
353	0.3497237178
354	0.3497224197
355	0.349699469
356	0.3496982036
357	0.3496312297
358	0.3496288621
359	0.3496172965
360	0.3495517694
361	0.349500092
362	0.3493914736
363	0.3493902508
364	0.349374976
365	0.3493273784
366	0.3493241679
367	0.349320859
368	0.3493188169
369	0.3492352441
370	0.3492321966
371	0.3492319454
372	0.3492281223
373	0.3491975577
374	0.3491477508
375	0.3491263467
376	0.3491224241
377	0.3490944619
378	0.3490640387
379	0.3490619842
380	0.3490215248
381	0.3489631882
382	0.3489463423
383	0.3489459269
384	0.3489449867
385	0.3489002826
386	0.3488572894
387	0.3487978207
388	0.348797602
389	0.3487922539
390	0.3487894322
391	0.3487551759
392	0.348755154
393	0.3486797938
394	0.348657398
395	0.3486123944
396	0.3484815411
397	0.3484798553
398	0.3484687552
399	0.3483783319
400	0.3483553693
401	0.3483166459
402	0.3483164268
403	0.3483154412
