iter	Passed	Remaining
0	39	39365
1	79	39878
2	101	33847
3	124	31104
4	146	29207
5	168	27851
6	181	25740
7	221	27427
8	260	28719
9	282	27931
10	321	28931
11	361	29766
12	391	29718
13	431	30391
14	470	30923
15	510	31382
16	540	31233
17	579	31627
18	609	31488
19	639	31335
20	679	31683
21	719	31964
22	758	32215
23	771	31382
24	811	31636
25	850	31866
26	880	31727
27	910	31594
28	931	31195
29	953	30822
30	993	31055
31	1033	31252
32	1072	31426
33	1102	31333
34	1125	31018
35	1164	31188
36	1205	31363
37	1222	30940
38	1252	30867
39	1292	31031
40	1332	31161
41	1371	31283
42	1410	31390
43	1448	31468
44	1485	31534
45	1523	31601
46	1561	31667
47	1571	31176
48	1609	31241
49	1648	31318
