iter	RMSE
0	0.8869842351
1	0.8674086288
2	0.848363897
3	0.8299164353
4	0.8119003897
5	0.7948195866
6	0.7780905863
7	0.7622215753
8	0.7467464888
9	0.7319742094
10	0.7176053006
11	0.7040401422
12	0.6906292668
13	0.67785061
14	0.6655510508
15	0.6538539298
16	0.642050862
17	0.6313477911
18	0.620888599
19	0.6108088969
20	0.6011588554
21	0.5913570604
22	0.5820951249
23	0.573411738
24	0.5649560397
25	0.5570244856
26	0.5491867653
27	0.541894302
28	0.534643847
29	0.5278418406
30	0.5209910986
31	0.5146092689
32	0.5085915712
33	0.5028795843
34	0.4972034578
35	0.4917720518
36	0.4867129934
37	0.4817340269
38	0.4771316454
39	0.4725178828
40	0.46819012
41	0.4642436419
42	0.4603243327
43	0.4567966015
44	0.453231085
45	0.4498973095
46	0.4465283677
47	0.443328
48	0.4404747962
49	0.4376908125
50	0.4349277859
51	0.4323635863
52	0.4300322916
53	0.4277500589
54	0.4254091734
55	0.4233095967
56	0.4210966586
57	0.4189862536
58	0.4169431303
59	0.4151643375
60	0.4135260124
61	0.4118932693
62	0.4104955561
63	0.4089336354
64	0.4074382112
65	0.4060793028
66	0.4046748077
67	0.4033998152
68	0.4021633161
69	0.4009329189
70	0.4000187156
71	0.3989101659
72	0.3978401024
73	0.396794134
74	0.3958837992
75	0.3950074262
76	0.394112666
77	0.3932046445
78	0.3923738802
79	0.3915849818
80	0.3907544099
81	0.3899662546
82	0.3893327665
83	0.3886463058
84	0.3879435654
85	0.3873338384
86	0.3868146373
87	0.3862526328
88	0.3856962219
89	0.3851696652
90	0.3846970116
91	0.3842512945
92	0.383766415
93	0.3833939798
94	0.38291841
95	0.3825423369
96	0.3820487769
97	0.3816674608
98	0.3812500323
99	0.3808929557
100	0.380517904
101	0.380129203
102	0.3797710258
103	0.3794359799
104	0.3790838186
105	0.3788109624
106	0.3784723399
107	0.3781933775
108	0.3779009181
109	0.3776049397
110	0.3773626564
111	0.3770719458
112	0.3768284243
113	0.3765554955
114	0.3763090935
115	0.3760800657
116	0.3758690224
117	0.3756529922
118	0.3754734546
119	0.3753014131
120	0.3751452687
121	0.3748565268
122	0.3746223254
123	0.3743507102
124	0.3742445292
125	0.3740744141
126	0.3739119847
127	0.3737506772
128	0.373495283
129	0.3732261695
130	0.3730493664
131	0.3728648403
132	0.372700654
133	0.372538807
134	0.3723390532
135	0.3722033174
136	0.3720093057
137	0.3719611507
138	0.3718420938
139	0.3717177236
140	0.3716049889
141	0.3713837501
142	0.3712876095
143	0.3711410439
144	0.371035498
145	0.3709226744
146	0.3707825113
147	0.3706383948
148	0.3704920212
149	0.3702935266
150	0.3701419164
151	0.3699965684
152	0.3698845717
153	0.369772596
154	0.3696872061
155	0.3695183009
156	0.369432385
157	0.3692804792
158	0.3691581955
159	0.3690234794
160	0.3688760922
161	0.3687473784
162	0.3686745101
163	0.3685783008
164	0.3684917043
165	0.3683490041
166	0.3683014449
167	0.3681946093
168	0.3681311806
169	0.3680316626
170	0.3679240596
171	0.3678425997
172	0.3676563956
173	0.3675695413
174	0.3674599125
175	0.3673257456
176	0.3671957985
177	0.3671162995
178	0.3671115288
179	0.3670452659
