iter	RMSE
0	0.7953950962
1	0.7789363274
2	0.7624579786
3	0.746434879
4	0.7312939161
5	0.7166235257
6	0.7025780008
7	0.6888161046
8	0.6755643968
9	0.6627710987
10	0.650745447
11	0.6390458185
12	0.6272358169
13	0.6162521594
14	0.6058213383
15	0.5959042334
16	0.5861947355
17	0.5768952074
18	0.567789535
19	0.5590250117
20	0.5507563311
21	0.5429665354
22	0.5355068289
23	0.5283784605
24	0.5211406339
25	0.5144363668
26	0.5080869138
27	0.5019223681
28	0.4958478832
29	0.4898403441
30	0.4845363128
31	0.4792855834
32	0.474364583
33	0.4695826975
34	0.4649585885
35	0.4604724256
36	0.4562729585
37	0.4520430063
38	0.448098034
39	0.4442428377
40	0.4406532385
41	0.4373496896
42	0.4342029435
43	0.4311289504
44	0.4282355321
45	0.4253971058
46	0.4226544023
47	0.4200678277
48	0.4176047111
49	0.4153350315
50	0.41313856
51	0.411012904
52	0.4089509319
53	0.4069757026
54	0.4051268241
55	0.4032754865
56	0.4015989411
57	0.4000043282
58	0.3984687423
59	0.3970648006
60	0.3956773151
61	0.3943574194
62	0.3930513407
63	0.3918702239
64	0.3906839393
65	0.3895955746
66	0.3884205625
67	0.3874946696
68	0.3864945649
69	0.3854853873
70	0.384515149
71	0.3836190983
72	0.3826336282
73	0.3818017489
74	0.3808259716
75	0.3800336938
76	0.3792637407
77	0.3784478548
78	0.3777446873
79	0.3769603041
80	0.3762517758
81	0.3755848526
82	0.3749916004
83	0.374352064
84	0.3737886239
85	0.3732893702
86	0.3727619366
87	0.3721482665
88	0.3716406493
89	0.3711476682
90	0.3706400862
91	0.3701790916
92	0.3697807319
93	0.369400085
94	0.368946013
95	0.3685699581
96	0.368350643
97	0.368035572
98	0.3676865436
99	0.3672679429
100	0.3669154234
101	0.3665713019
102	0.366225085
103	0.3659288588
104	0.3655778782
105	0.3652803916
106	0.3649199875
107	0.364719563
108	0.3644413932
109	0.364213817
110	0.3639886398
111	0.3637338927
112	0.3634818405
113	0.3631514195
114	0.3629678629
115	0.3626907864
116	0.3625081148
117	0.362284485
118	0.362099314
119	0.3619061465
120	0.3616978281
121	0.3614402713
122	0.3612359807
123	0.3608929479
124	0.360722339
125	0.3605559472
126	0.3604009765
127	0.3602850177
128	0.3600958592
129	0.3599632358
130	0.3598162178
131	0.3595454504
132	0.3594460465
133	0.359275444
134	0.3590894692
135	0.3589745245
136	0.3588564867
137	0.3586096014
138	0.3584734173
139	0.3583147659
140	0.3581793705
141	0.3579985363
142	0.3578559877
143	0.3577670817
144	0.357649829
145	0.3574915282
146	0.3573572349
147	0.3571993543
148	0.3571059882
149	0.3570214348
150	0.3568453079
151	0.3567451118
152	0.3566626089
153	0.3565384736
154	0.3563610311
155	0.3562562657
156	0.3560965364
157	0.355975125
158	0.355886345
159	0.3556335121
160	0.3554455776
161	0.3553699462
162	0.3552685315
163	0.3551671249
164	0.3550667079
165	0.3549374967
166	0.3547190836
167	0.3546185588
168	0.3544237949
169	0.354375187
170	0.3542137288
171	0.3541015423
172	0.3539642735
173	0.3538397332
174	0.3536899058
175	0.353568899
176	0.3534635678
177	0.3533062552
178	0.3531916429
179	0.3530575582
180	0.3529457719
181	0.3528375545
182	0.3527499916
183	0.3526533946
184	0.3525715276
185	0.3524353005
186	0.3523774
187	0.3522562935
188	0.3520775745
189	0.3519944455
190	0.3518478945
191	0.3518143821
192	0.3517474332
193	0.3516287909
194	0.3514427124
195	0.3512697318
196	0.3511172571
197	0.350905223
198	0.3506744637
199	0.3505590078
200	0.3505515085
201	0.3503106646
202	0.3501878337
203	0.3500321658
204	0.3498816171
205	0.3498103497
206	0.3496553733
207	0.3495349839
208	0.3494806883
209	0.3493588977
210	0.3491406147
211	0.3489906703
212	0.3488343229
213	0.3487184276
214	0.3486521597
215	0.3485224827
216	0.3484411912
217	0.3483576316
