vehicle_speed_kmh,status,elapsed_seconds,MIPGap,objective,total_swaps,Time_Gap,num_visited,makespan_hrs
15,OPTIMAL (全局最优),94.2,0.5153,0.640374,12,0.054813,8,0.8997
20,OPTIMAL (全局最优),114.49,0.9889,0.876807,18,0.027762,10,0.9241
25,OPTIMAL (全局最优),155.16,0.0,1.014155,20,0.033323,11,0.8805
30,OPTIMAL (全局最优),162.97,0.2647,1.031058,20,0.061457,11,0.8621
35,OPTIMAL (全局最优),155.75,0.263,1.031075,20,0.093586,11,0.7981
40,OPTIMAL (全局最优),167.49,0.0,1.03682,20,0.10671,10,0.7202
50,OPTIMAL (全局最优),194.07,0.0,1.054446,20,0.143304,11,0.7183
