P_intervals,status,elapsed_seconds,MIPGap,objective,total_swaps,Time_Gap,num_visited,makespan_hrs
6,OPTIMAL (全局最优),56.25,0.0,0.435605,11,0.278175,5,0.551
8,OPTIMAL (全局最优),121.31,0.0,0.661895,16,0.187181,7,0.6695
10,OPTIMAL (全局最优),173.88,0.0,0.870927,20,0.118831,9,0.7931
12,OPTIMAL (全局最优),159.47,0.2647,1.031058,20,0.061457,11,0.8621
16,OPTIMAL (全局最优),201.98,0.978,1.15302,20,0.037412,12,0.9068
20,OPTIMAL (全局最优),196.24,0.3803,1.086391,20,0.08627,15,0.8305
