C_max,status,elapsed_seconds,MIPGap,objective,total_swaps,Time_Gap,num_visited,makespan_hrs
10,OPTIMAL (全局最优),986.15,0.0,0.72352,10,0.090098,7,0.5657
15,OPTIMAL (全局最优),233.48,0.0258,0.926966,15,0.066317,9,0.672
20,OPTIMAL (全局最优),247.1,0.2647,1.031058,20,0.061457,11,0.8621
25,OPTIMAL (全局最优),223.13,0.263,1.037099,22,0.075028,11,0.8604
30,OPTIMAL (全局最优),225.29,0.9881,1.029653,21,0.076034,11,0.8708
