hour,rent,return,low_power_bike_count,soon_low_power_bike_count,normal_power_bike_count
0,20,17,1,4,33
1,9,11,1,7,26
2,9,8,2,7,23
3,7,8,2,6,21
4,10,5,1,7,20
5,8,6,0,4,19
6,3,48,1,3,6
7,33,133,1,7,30
8,51,132,1,16,84
9,39,67,2,8,100
10,41,62,3,5,73
11,57,65,0,9,48
12,64,79,2,9,71
13,67,92,0,9,55
14,84,79,1,15,81
15,101,67,1,14,86
16,89,80,1,14,52
17,100,87,1,8,43
18,80,119,1,8,33
19,88,80,3,9,42
20,83,70,6,13,38
21,36,73,4,21,109
22,22,61,1,17,138
23,17,41,7,20,155
