iter	RMSE
0	1.057580475
1	1.034486207
2	1.010739655
3	0.9882876615
4	0.9660012264
5	0.9453529497
6	0.9250653196
7	0.9050449424
8	0.8862092019
9	0.8686104604
10	0.851208511
11	0.8342828365
12	0.81824039
13	0.8022856912
14	0.7869910638
15	0.772365835
16	0.758891611
17	0.7455121216
18	0.7321297156
19	0.7188953479
20	0.7072787443
21	0.6951829857
22	0.6832644052
23	0.6722683827
24	0.6614234928
25	0.650895843
26	0.6409748273
27	0.6311452198
28	0.621882724
29	0.6131018652
30	0.6052228718
31	0.5973325887
32	0.5895682508
33	0.5821185501
34	0.5753969449
35	0.5689656114
36	0.5627837052
37	0.5564481226
38	0.5504398533
39	0.5446223889
40	0.5389097192
41	0.5337073216
42	0.5288799478
43	0.5237115144
44	0.5188103488
45	0.5143206756
46	0.510018928
47	0.5062196136
48	0.5023087243
49	0.4984578733
50	0.4949134122
51	0.4913092809
52	0.4880010565
53	0.4848194281
54	0.4818887167
55	0.4791209831
56	0.4765711281
57	0.4739813222
58	0.4714639905
59	0.4686794637
60	0.4662367343
61	0.4637897181
62	0.461497646
63	0.4595733454
64	0.4573421696
65	0.4554970328
66	0.4536129001
67	0.4516415357
68	0.4499728735
69	0.4484390207
70	0.4466792537
71	0.4448869096
72	0.4432772948
73	0.4419140104
74	0.4406391916
75	0.439190683
76	0.438042251
77	0.4369700607
78	0.4359032028
79	0.4349165652
80	0.434045628
81	0.4328732997
82	0.431721728
83	0.430613158
84	0.4297922005
85	0.4288694482
86	0.4279908973
87	0.4273049404
88	0.42664204
89	0.4258382472
90	0.425076072
91	0.4245267857
92	0.4238162605
93	0.4232277169
94	0.4226542727
95	0.4220622091
96	0.4215584111
97	0.4209990343
98	0.4204981825
99	0.4199364457
100	0.4195693804
101	0.4191418201
102	0.4187204144
103	0.4182370584
104	0.4178205156
105	0.4174979817
106	0.417140104
107	0.4166953112
108	0.416181984
109	0.4159261503
110	0.4155111396
111	0.415251236
112	0.4150221214
113	0.4146869907
114	0.4144020313
115	0.4140450704
116	0.4137642872
117	0.4135442853
118	0.413321246
119	0.4130913141
120	0.412776212
121	0.4125647204
122	0.4122848347
123	0.4120166881
124	0.4117043759
125	0.4115361212
126	0.4113543884
127	0.4110517564
128	0.4107834214
129	0.4104540464
130	0.4102997138
131	0.4100752611
132	0.4098642478
133	0.4096901096
134	0.4094836379
135	0.4091872554
136	0.4089388385
137	0.4086846956
138	0.4084506984
139	0.4082449677
140	0.4079997323
141	0.4077745099
142	0.4076878475
143	0.4075045831
144	0.4073248898
145	0.4071195286
146	0.4069276392
147	0.4067431425
148	0.4065465751
149	0.4064579104
150	0.406292552
151	0.4061372857
152	0.406009935
153	0.4058120719
154	0.4056524635
155	0.4054977413
156	0.4053652494
157	0.4052688646
158	0.4051579497
159	0.4049512839
160	0.4046953423
161	0.4045238758
162	0.4044261573
163	0.4042622206
164	0.4040560821
165	0.4039094201
166	0.4036741156
167	0.4034749624
168	0.4032235923
169	0.4030849322
170	0.4029967462
171	0.402779131
172	0.4026540614
173	0.4025914661
174	0.4024514098
175	0.402275376
176	0.4021703801
177	0.4020694199
178	0.4019382899
179	0.4017792372
180	0.4016595979
181	0.4015387699
182	0.4014540346
183	0.4013854439
184	0.4012632774
185	0.4009992425
186	0.4009004412
187	0.4007523745
188	0.4006055498
189	0.4004583965
190	0.4003776357
191	0.4002120756
192	0.4001006895
193	0.3998993096
194	0.3997622798
195	0.3996079359
196	0.3995016825
197	0.3994376382
198	0.3992552659
199	0.399123399
200	0.3990276033
201	0.3988814001
202	0.3988350159
203	0.3986982539
204	0.3985948769
205	0.3984212663
206	0.3983630707
207	0.3982871232
208	0.3981270612
209	0.3979332291
210	0.3978227715
211	0.3976904357
212	0.3976135604
213	0.3974378202
214	0.3972899729
215	0.3971813207
216	0.3971161157
217	0.3970024059
218	0.3969196218
219	0.3968126967
220	0.3966461208
221	0.3965435169
222	0.396406903
223	0.3963634832
224	0.3963027435
225	0.3962059205
226	0.3961607438
227	0.3960081518
228	0.3959123492
229	0.3957915502
230	0.3957163738
231	0.395617978
232	0.3955179707
233	0.3953494569
234	0.3952812348
235	0.3952029286
236	0.3951509783
237	0.3950788888
238	0.3949466998
239	0.3948596618
240	0.3947545698
241	0.3946243404
242	0.3945205219
243	0.3944698716
244	0.3943622713
245	0.3942531841
246	0.3941667583
247	0.3939969948
248	0.3938951789
249	0.3938522078
250	0.3937403381
