iter	Passed	Remaining
0	43	42993
1	88	44048
2	124	41460
3	158	39376
4	193	38466
5	225	37307
6	257	36483
7	284	35288
8	311	34352
9	345	34186
10	378	33999
11	406	33493
12	438	33256
13	470	33126
14	500	32840
15	535	32941
16	567	32821
17	595	32504
18	626	32356
19	651	31940
20	683	31843
21	712	31653
22	740	31442
23	764	31102
24	795	31009
25	823	30862
26	858	30939
27	889	30894
28	922	30893
29	951	30761
30	982	30704
31	1013	30652
32	1043	30565
33	1072	30475
34	1102	30387
35	1131	30292
36	1162	30249
37	1193	30205
38	1224	30171
39	1253	30091
40	1282	30000
41	1306	29796
42	1340	29837
43	1367	29701
44	1398	29672
45	1428	29629
46	1460	29610
47	1488	29528
48	1522	29541
49	1553	29521
50	1583	29459
51	1614	29426
52	1642	29347
53	1672	29291
54	1703	29263
55	1721	29024
56	1743	28843
57	1765	28675
58	1789	28546
59	1813	28408
60	1835	28251
61	1857	28108
62	1876	27914
63	1898	27772
64	1923	27666
65	1946	27548
66	1969	27428
67	1995	27353
68	2022	27293
69	2047	27198
70	2057	26920
71	2081	26833
72	2111	26812
73	2134	26712
74	2164	26694
75	2193	26671
76	2215	26555
77	2239	26475
78	2260	26350
79	2284	26273
80	2308	26192
81	2340	26199
82	2361	26092
83	2389	26053
84	2415	26006
85	2441	25948
86	2466	25879
87	2491	25818
88	2519	25793
89	2543	25716
90	2567	25642
91	2585	25514
92	2611	25470
93	2637	25424
94	2660	25343
95	2686	25298
96	2716	25287
97	2739	25217
98	2764	25160
99	2788	25096
100	2816	25073
101	2840	25005
102	2868	24979
103	2893	24928
104	2924	24926
105	2944	24829
106	2973	24820
107	2997	24759
108	3027	24750
109	3054	24715
110	3078	24653
111	3103	24604
112	3131	24579
113	3159	24551
114	3181	24481
115	3211	24474
116	3236	24427
117	3267	24426
118	3290	24363
119	3312	24293
120	3341	24270
121	3371	24260
122	3392	24188
123	3424	24189
124	3444	24110
125	3470	24073
126	3493	24012
127	3515	23951
128	3545	23939
129	3575	23930
130	3605	23917
131	3629	23864
132	3652	23811
133	3680	23787
134	3705	23742
135	3731	23706
136	3759	23683
137	3770	23553
138	3787	23459
139	3809	23402
140	3830	23338
141	3857	23307
142	3878	23245
143	3902	23197
144	3923	23135
145	3946	23081
146	3969	23031
147	3997	23011
148	4025	22988
149	4053	22971
150	4078	22933
151	4107	22914
152	4127	22848
153	4153	22817
154	4178	22778
155	4210	22778
156	4235	22743
157	4263	22720
158	4288	22681
159	4315	22655
160	4339	22612
161	4365	22583
162	4384	22512
163	4413	22500
164	4434	22440
165	4464	22431
166	4493	22415
167	4517	22373
168	4538	22315
169	4562	22275
170	4580	22205
171	4606	22173
172	4629	22131
173	4658	22116
174	4685	22089
175	4714	22073
176	4742	22049
177	4766	22011
178	4770	21878
179	4790	21824
